Gen	t_n6	t_n7	t_n8	t_n9	mu	sigma2	r_n1	r_n2	r_n3	r_n4	r_n5	r_n7	r_n8	r_n9	lnL
1820	8.0792406	7.3336725	2.5303471	1.6543319	0.0439802	0.1811805	0.0085495	0.0248866	0.0375584	0.0439509	0.0217607	0.0563344	0.0681237	0.0772900	-2.935
1830	9.0080831	7.6261222	1.9948405	2.5578773	0.0263091	0.1412713	0.0183730	0.0386684	0.0325424	0.0201322	0.0268041	0.0335116	0.0447586	0.0471190	-9.420
1840	8.2525780	7.8931425	1.6673486	3.3686980	0.0566936	0.2752732	0.0075336	0.0334746	0.0382586	0.0136850	0.0248499	0.0447834	0.0707936	0.0704565	-3.221
1850	10.1832093	10.0655750	4.3759765	3.6435040	0.0372095	0.0545058	0.0180875	0.0136126	0.0156601	0.0321700	0.0203020	0.0356781	0.0400177	0.0450927	-10.465
1860	11.6012162	11.4672013	2.0970118	1.8377296	0.0326614	0.1182014	0.0120498	0.0166121	0.0351328	0.0388350	0.0184945	0.0313172	0.0411008	0.0459516	-2.993
1870	9.4612378	9.1056134	0.7152880	1.3952438	0.0163017	0.1447019	0.0039670	0.0500118	0.0466995	0.0300418	0.0265987	0.0185547	0.0529659	0.0587678	-3.236
1880	11.0675003	10.0663689	2.0876524	3.0697480	0.0199428	0.1454618	0.0049827	0.0403100	0.0288532	0.0163647	0.0190685	0.0196649	0.0445744	0.0538418	-1.903
1890	8.8397290	8.1729751	1.3599249	1.6907315	0.0294022	0.0758174	0.0118052	0.0392108	0.0389788	0.0189883	0.0249221	0.0259942	0.0669611	0.0581627	-3.292
1900	10.6797882	6.9437699	1.2929269	0.6331506	0.0154154	0.2463494	0.0041607	0.0540673	0.0698362	0.0697858	0.0515517	0.0162108	0.0763898	0.0662874	-3.064
1910	10.0182563	8.9813355	2.0101879	0.9567781	0.0126210	0.1759891	0.0015940	0.0236803	0.0438603	0.0908842	0.0332378	0.0123703	0.0503498	0.0491754	-1.958
1920	10.4564187	9.1930196	2.5079318	1.4543536	0.0351902	0.1016344	0.0020054	0.0286207	0.0291885	0.0396494	0.0227395	0.0350885	0.0484958	0.0498468	-2.430
1930	10.1674035	9.3659883	2.6708270	1.4193823	0.0283256	0.1065997	0.0078593	0.0296156	0.0290491	0.0448605	0.0451911	0.0316053	0.0512585	0.0568734	-2.477
1940	10.7982785	9.8272078	1.4082790	2.4251794	0.0458570	0.0766789	0.0112562	0.0425779	0.0435979	0.0172641	0.0257737	0.0454329	0.0549606	0.0464976	-3.691
