Gen	t_n6	t_n7	t_n8	t_n9	mu	sigma2	r_n1	r_n2	r_n3	r_n4	r_n5	r_n7	r_n8	r_n9	lnL
2950	9.8195334	9.5811623	1.0484298	0.3725602	0.0238968	0.0896379	0.0169562	0.0596911	0.0563715	0.0849612	0.0740186	0.0267149	0.0413677	0.0465164	-5.677
2960	8.3634484	8.1604240	1.0254692	0.5399754	0.0280572	0.0672432	0.0222466	0.0700834	0.0601510	0.0997531	0.1167806	0.0313660	0.0714090	0.0546149	-4.272
2970	8.8336722	8.0494830	1.1451451	0.7164320	0.0341903	0.1472707	0.0068729	0.0501357	0.0651593	0.0558601	0.0715802	0.0382224	0.0545392	0.0492139	-2.030
2980	8.7220394	8.6954557	1.2596846	0.8449335	0.0371071	0.1455206	0.0109883	0.0475598	0.0519026	0.0880900	0.0590186	0.0395204	0.0540929	0.0534123	-1.092
2990	8.9095563	8.6763246	1.3415204	0.7897960	0.0305334	0.1447444	0.0062861	0.0356556	0.0446056	0.0724845	0.0690329	0.0307453	0.0500829	0.0584835	-1.156
3000	9.3333960	8.5660317	3.2206870	1.6192316	0.0307668	0.2459572	0.0110364	0.0160897	0.0242149	0.0142754	0.0152190	0.0352027	0.0699985	0.0381445	-8.519
3010	10.4748965	10.2210059	2.5128265	1.6531121	0.0368280	0.1816397	0.0033922	0.0092200	0.0242416	0.0473931	0.0133879	0.0346939	0.0374516	0.0555176	-4.901
3020	9.4286173	8.2879430	1.7647894	1.1869372	0.0501917	0.1118333	0.0113963	0.0374296	0.0259522	0.0443690	0.0532517	0.0491173	0.0584164	0.0557717	-3.017
3030	10.5667899	10.2602223	1.6719130	1.5991886	0.0450380	0.0497345	0.0161861	0.0446850	0.0253134	0.0395900	0.0248290	0.0438268	0.0489499	0.0362495	-4.481
3040	10.3053836	10.0420553	1.5871521	1.6831227	0.0353356	0.0290940	0.0288064	0.0374192	0.0469044	0.0331544	0.0452354	0.0367005	0.0409906	0.0395232	-6.732
3050	9.7924100	8.7514608	1.9326974	1.3582285	0.0353356	0.1330229	0.0221731	0.0374192	0.0265501	0.0507338	0.0420262	0.0315107	0.0450491	0.0548324	-5.451
3060	10.7888755	9.1615699	2.1412433	1.8527521	0.0353356	0.1135855	0.0061194	0.0253206	0.0265501	0.0213136	0.0170758	0.0395181	0.0450491	0.0445265	-4.344
3070	11.9618499	10.5372087	2.7661046	1.1822385	0.0365319	0.0378874	0.0241650	0.0302462	0.0286437	0.0523138	0.0456892	0.0350857	0.0467132	0.0538960	-8.683
3080	8.6376441	8.3175041	2.9819247	1.7125058	0.0375231	0.1000726	0.0059972	0.0229212	0.0210070	0.0604422	0.0325770	0.0357428	0.0504562	0.0553736	-4.648
3090	10.4891374	10.3634410	1.6628905	0.8545373	0.0301153	0.0784604	0.0103819	0.0317039	0.0280803	0.0433374	0.0384294	0.0286865	0.0379872	0.0459164	-3.903
3100	9.4227026	8.7786454	1.5997676	1.3834159	0.0278335	0.2775268	0.0019408	0.0334628	0.0229159	0.0384740	0.0146657	0.0458396	0.0455895	0.0486888	-3.674
3110	10.4775074	10.3480284	4.0249181	1.2438467	0.0462162	0.2089282	0.0065105	0.0211865	0.0070356	0.0517988	0.0538193	0.0507578	0.0635514	0.0449742	-2.738
3120	8.6672482	7.3202919	3.1106144	0.8941666	0.0308631	0.1624488	0.0068276	0.0181223	0.0100955	0.0552167	0.0537227	0.0393720	0.0821738	0.0625622	-3.260
3130	8.4831242	8.4437270	2.9870047	0.7946613	0.0340026	0.0822991	0.0115877	0.0140063	0.0247745	0.0575018	0.0527115	0.0322634	0.0682153	0.0488836	-2.082
3140	10.2524606	10.2048462	1.3726566	2.3791130	0.0281345	0.0430291	0.0127487	0.0480087	0.0334740	0.0319657	0.0218000	0.0266955	0.0263319	0.0534493	-6.184
3150	10.6808690	8.6959126	1.6060727	1.2246785	0.0357640	0.0279249	0.0156908	0.0362135	0.0425514	0.0571212	0.0455941	0.0339347	0.0595888	0.0519464	-4.299
3160	11.9882033	11.3032528	1.3965685	1.7926053	0.0345001	0.0858122	0.0058459	0.0420931	0.0428414	0.0475105	0.0364222	0.0346938	0.0415667	0.0469633	-2.015
3170	10.1953725	6.5289485	2.3343003	2.1711612	0.0160952	0.2570968	0.0243445	0.0196144	0.0457031	0.0348342	0.0318719	0.0201120	0.0802904	0.0887562	-7.796
3180	11.1251456	10.0404722	1.6151231	1.2186961	0.0249733	0.0159814	0.0153678	0.0372076	0.0437737	0.0545961	0.0446000	0.0270663	0.0361254	0.0377600	-4.338
3190	10.3334838	9.5582607	1.1237409	1.2186961	0.0249733	0.0366615	0.0155379	0.0358010	0.0420203	0.0545961	0.0712533	0.0270663	0.0400138	0.0490010	-6.264
3200	11.9029340	11.2952178	1.9832559	0.8641229	0.0322931	0.1203083	0.0131051	0.0301957	0.0346416	0.0818127	0.0600972	0.0288335	0.0328217	0.0279229	-4.632
3210	10.6848453	10.2202270	1.4766467	0.7869497	0.0316114	0.2570095	0.0114937	0.0661053	0.0737711	0.0898358	0.0629072	0.0336320	0.0589659	0.0695831	-8.054
3220	8.0620404	7.1364058	1.3698246	1.5040231	0.0212758	0.1222101	0.0165605	0.0437811	0.0474660	0.0439264	0.0313494	0.0282501	0.0524792	0.0629479	-3.342
3230	8.3579357	7.9952054	1.8923339	1.5358251	0.0226778	0.1506285	0.0079386	0.0309804	0.0265681	0.0492415	0.0458847	0.0244522	0.0497385	0.0660147	-3.358
3240	10.7114399	10.2286839	3.8817886	2.5353280	0.0273727	0.2462596	0.0025800	0.0216291	0.0117203	0.0169699	0.0296192	0.0358276	0.0941682	0.0643771	-2.577
3250	12.1234690	11.3407160	5.8651160	5.3565638	0.0221667	0.1102234	0.0105724	0.0069560	0.0196608	0.0162139	0.0072945	0.0306602	0.0546215	0.0570753	-5.116
3260	12.2528113	9.6071855	4.4224959	4.2374885	0.0240757	0.1986030	0.0055119	0.0210117	0.0145867	0.0162950	0.0073030	0.0254933	0.0670760	0.0642726	-3.538
3270	11.7553645	11.1969888	2.6314374	4.5813047	0.0104487	0.3968687	0.0004457	0.0235890	0.0228193	0.0061320	0.0128613	0.0148575	0.0472040	0.0505604	-3.178
3280	8.6962470	6.3827854	1.4497593	2.6860567	0.0255003	0.3968687	0.0002475	0.0501701	0.0202409	0.0160810	0.0092631	0.0437848	0.0831011	0.0769841	-6.052
3290	10.0899591	9.4680475	1.2481136	3.3780638	0.0494003	0.2270421	0.0064786	0.0529679	0.0392455	0.0085016	0.0100736	0.0373419	0.0539128	0.0684116	-3.274
3300	11.4639580	11.4177195	2.4279538	3.2519017	0.0409691	0.0604264	0.0048509	0.0273373	0.0205838	0.0145183	0.0158936	0.0442858	0.0296494	0.0340080	-6.133
3310	10.9681284	9.2165031	1.5296289	4.0279680	0.0565804	0.0877828	0.0113360	0.0405732	0.0326155	0.0161713	0.0143667	0.0531454	0.0565240	0.0592424	-5.420
3320	9.0521008	7.9527010	1.3007036	2.7519644	0.0203412	0.1445745	0.0013187	0.0436333	0.0313548	0.0193373	0.0222677	0.0315896	0.0513023	0.0708410	-2.330
3330	10.9105306	10.3648250	0.5480000	3.7720918	0.0166931	0.1445745	0.0077859	0.1115732	0.1264667	0.0276180	0.0149656	0.0181992	0.0366819	0.0561223	-2.874
3340	8.9640634	8.2660116	0.5251752	2.2377121	0.0386274	0.1445745	0.0068131	0.0963941	0.0787599	0.0404226	0.0242697	0.0393620	0.0485192	0.0589933	-3.374
3350	9.8423705	8.8021830	0.8051891	1.3258711	0.0355564	0.0725656	0.0071138	0.0684276	0.1004128	0.0403990	0.0530275	0.0371228	0.0506608	0.0581937	-1.701
3360	10.2763333	9.9729446	1.5106444	3.1177914	0.0300821	0.0795357	0.0129737	0.0405927	0.0605181	0.0274150	0.0215692	0.0294328	0.0428610	0.0448227	-4.685
3370	10.8482471	10.5279738	1.8323018	3.0772448	0.0284961	0.0795357	0.0122897	0.0283684	0.0466167	0.0211163	0.0123415	0.0278811	0.0460597	0.0551937	-2.271
3380	8.8372829	8.4097733	1.1747816	2.7238599	0.0343534	0.0925397	0.0321718	0.0422854	0.0431182	0.0290622	0.0200225	0.0419846	0.0435608	0.0642710	-6.717
3390	10.6596595	10.2056919	1.4363549	3.7968393	0.0341207	0.0692003	0.0060217	0.0447798	0.0539511	0.0127546	0.0159237	0.0333901	0.0434164	0.0480462	-2.879
3400	9.5870325	8.5947022	0.8667344	3.6846901	0.0351592	0.1250829	0.0046930	0.0680397	0.0828532	0.0091947	0.0207749	0.0319779	0.0402256	0.0637455	-4.688
3410	9.8278351	9.1885793	0.8599605	1.8921683	0.0133886	0.1467365	0.0044492	0.0906754	0.0734310	0.0486545	0.0264716	0.0193736	0.0686992	0.0602041	-3.101
3420	8.4691079	6.1904038	0.5870553	1.5380724	0.0120928	0.1676852	0.0069190	0.1473653	0.1079191	0.0485598	0.0466962	0.0212633	0.0736675	0.1164448	-3.017
3430	10.0928668	8.7229943	0.9737372	2.3851256	0.0276571	0.1676852	0.0029383	0.0631760	0.0531264	0.0154869	0.0260322	0.0434935	0.0555623	0.0666566	-1.549
3440	11.8444035	8.8310466	1.0134022	2.5413056	0.0273597	0.1065036	0.0075504	0.0514586	0.0531983	0.0282278	0.0105056	0.0474975	0.0484598	0.0525049	-4.867
3450	11.0139666	10.4824716	2.1486031	4.2766449	0.0288992	0.1987019	0.0092126	0.0167894	0.0283768	0.0080388	0.0151608	0.0397229	0.0618811	0.0633855	-4.159
3460	8.3878954	7.3997444	1.5789267	2.1413479	0.0583398	0.1660567	0.0114468	0.0513122	0.0340776	0.0350227	0.0157938	0.0886483	0.0631958	0.0634191	-3.688
3470	12.0049584	10.0859214	1.9642670	3.7946980	0.0251460	0.1441959	0.0075754	0.0290270	0.0260788	0.0116879	0.0212869	0.0357727	0.0585046	0.0576654	-4.250
3480	10.1279765	9.3905639	2.0964079	3.1305263	0.0294416	0.1636429	0.0035078	0.0260998	0.0323995	0.0214796	0.0252073	0.0375487	0.0652052	0.0899017	-2.427
3490	7.8530408	6.9789087	1.8455920	1.4568613	0.0530098	0.1194217	0.0185532	0.0290432	0.0319735	0.0509527	0.0520628	0.0489402	0.0599054	0.0651370	-5.161
3500	10.3923014	9.6339821	2.0318131	2.7751478	0.0295649	0.0493510	0.0121764	0.0380093	0.0360276	0.0295534	0.0288470	0.0283861	0.0441084	0.0405869	-6.312
3510	11.0913589	10.9161954	1.7716159	1.6289801	0.0231997	0.1214855	0.0045081	0.0348435	0.0323773	0.0231906	0.0223572	0.0260790	0.0535206	0.0429619	-1.980
3520	11.1257739	9.8250916	1.8158679	3.1143429	0.0294800	0.0536588	0.0109984	0.0499579	0.0340674	0.0156481	0.0139253	0.0192146	0.0283628	0.0322508	-11.479
3530	10.4218646	9.0073646	1.4162860	3.6296124	0.0228828	0.1464422	0.0047835	0.0336825	0.0567220	0.0124623	0.0166253	0.0282618	0.0454916	0.0357158	-9.499
3540	8.7079082	6.1622840	1.0049637	1.5973526	0.0132247	0.1705894	0.0030722	0.0574035	0.0817671	0.0346651	0.0237159	0.0386723	0.0714212	0.1206905	-3.950
3550	10.9179530	10.4685400	2.1965708	4.7985953	0.0303405	0.1760830	0.0093700	0.0185463	0.0176593	0.0062030	0.0103950	0.0261598	0.0297132	0.0591232	-7.629
3560	8.6510814	8.5637447	2.6218982	3.1933135	0.0382908	0.1503223	0.0099173	0.0305760	0.0175483	0.0366941	0.0097790	0.0363797	0.0531431	0.0567601	-4.694
3570	11.2561923	10.3551724	3.4522926	2.8803150	0.0376731	0.2105114	0.0165449	0.0234995	0.0222852	0.0060359	0.0192668	0.0441785	0.0597007	0.0557881	-7.751
3580	11.6094456	10.3205787	1.6246411	2.5054078	0.0378502	0.1163396	0.0101142	0.0415858	0.0366420	0.0254296	0.0170508	0.0332404	0.0489013	0.0540448	-2.403
3590	8.3766399	7.2516413	1.0869024	2.3444764	0.0718538	0.2221503	0.0073585	0.0430114	0.0183449	0.0189079	0.0327898	0.0551383	0.0467400	0.0640634	-8.570
3600	10.9120336	10.3956661	3.7618907	2.2515319	0.0863459	0.1500106	0.0211154	0.0167414	0.0190566	0.0158795	0.0216772	0.0986868	0.0563748	0.0570434	-6.969
3610	9.5672570	8.3246170	3.6122073	1.7124759	0.0317253	0.2295011	0.0046466	0.0290915	0.0080810	0.0302608	0.0278952	0.0288270	0.0668619	0.0531906	-4.525
3620	11.3652554	9.9337015	3.7430945	4.4727856	0.0317208	0.2968468	0.0042769	0.0188506	0.0152528	0.0134539	0.0195989	0.0216375	0.0581544	0.0493340	-5.633
3630	9.3916020	8.9086059	3.1435505	1.2673527	0.0241599	0.1609746	0.0040657	0.0210197	0.0208366	0.0499372	0.0185927	0.0276333	0.0648461	0.0475222	-2.050
3640	7.9107813	6.8161078	3.4603927	0.9655743	0.0346983	0.1155325	0.0095730	0.0179053	0.0138093	0.0527843	0.0545263	0.0505495	0.0462713	0.0528812	-12.997
3650	11.4951939	11.0495086	2.1897052	1.7876695	0.0217248	0.0486340	0.0119362	0.0208270	0.0225929	0.0330485	0.0371322	0.0229762	0.0384126	0.0403029	-3.594
3660	8.7442147	8.5972291	1.1425724	1.2075543	0.0290189	0.2026446	0.0015879	0.0763277	0.0638977	0.0441445	0.0300544	0.0295328	0.0495936	0.0531978	-2.438
3670	9.2591488	8.9621699	1.4161688	1.2046040	0.0250975	0.0472945	0.0258920	0.0623274	0.0523622	0.0279866	0.0347454	0.0261103	0.0492573	0.0393703	-7.439
3680	11.1069824	9.5066256	2.2319235	1.0662715	0.0194903	0.0872068	0.0119883	0.0377240	0.0362343	0.0444861	0.0373909	0.0246150	0.0422942	0.0426571	-5.295
3690	8.1180310	7.6320461	0.7048814	1.0203499	0.0296622	0.2014940	0.0162387	0.0915074	0.0876186	0.0728442	0.0455132	0.0319662	0.0478945	0.0656405	-2.603
3700	9.2586734	7.9878436	0.8320226	1.7168888	0.0299965	0.0516546	0.0143664	0.0486147	0.0524602	0.0240418	0.0218872	0.0407293	0.0304858	0.0400171	-9.960
3710	10.9471529	10.3591179	1.8675559	1.8124026	0.0247902	0.1223930	0.0131112	0.0422759	0.0203494	0.0326054	0.0324052	0.0298957	0.0485353	0.0609460	-4.319
3720	10.6186136	8.4811632	2.5485048	1.9755110	0.0122008	0.0908705	0.0023786	0.0218934	0.0186692	0.0176616	0.0242441	0.0164927	0.0612227	0.0506928	-2.882
3730	10.6446068	6.5880014	1.3682177	0.7136866	0.0492139	0.3077175	0.0045059	0.0365685	0.0185615	0.0877912	0.0637830	0.0191971	0.0897575	0.0705816	-4.985
3740	9.1358683	4.4985667	1.9062334	1.1011074	0.0141440	0.2070605	0.0012127	0.0445768	0.0394751	0.0408140	0.0840792	0.0092698	0.1578374	0.1347572	-1.892
3750	11.2973833	7.2598435	2.4168485	1.5942622	0.0106394	0.2205524	0.0023518	0.0182106	0.0429254	0.0287290	0.0389248	0.0139013	0.0847710	0.0761490	-1.978
3760	8.7619950	8.2401993	1.5731989	1.3058485	0.0345285	0.2205524	0.0040882	0.0285532	0.0258897	0.0279279	0.0710701	0.0565651	0.0706824	0.0664156	-3.417
3770	8.3038126	7.4324019	2.5084258	1.5097475	0.0332268	0.1654418	0.0126969	0.0192140	0.0305277	0.0473838	0.0445615	0.0486614	0.0797559	0.0721481	-2.819
3780	11.7522502	10.9516491	1.8616534	1.3766742	0.0227065	0.1019872	0.0048778	0.0515819	0.0429997	0.0337166	0.0384290	0.0173319	0.0389547	0.0404503	-3.088
3790	11.0506588	9.0302429	0.9417475	1.1493114	0.0171522	0.1463191	0.0061383	0.0463830	0.0374379	0.0403867	0.0358106	0.0197403	0.0391730	0.0518565	-3.920
3800	8.5764960	5.7878180	1.8414759	2.0693521	0.0068147	0.6748795	0.0012778	0.0449251	0.0294642	0.0742061	0.0155984	0.0089754	0.0624109	0.1283485	-7.466
3810	8.8863787	7.0541732	0.6489578	0.7767199	0.0239431	0.1640217	0.0070422	0.0913119	0.1409536	0.0585785	0.0769414	0.0335468	0.0661473	0.0502913	-3.505
3820	10.2406900	7.1690992	1.1770128	1.8244352	0.0238193	0.0517929	0.0130538	0.0666351	0.0624347	0.0505823	0.0251351	0.0422677	0.0551661	0.0366609	-10.801
3830	11.1887167	9.7606911	0.9083907	1.4450377	0.0340741	0.0993894	0.0033612	0.0509218	0.0528729	0.0461035	0.0380188	0.0333011	0.0608357	0.0480676	-3.660
3840	11.3533927	10.8953407	0.8447067	1.9389914	0.0305256	0.0726413	0.0095467	0.0437963	0.0732361	0.0235075	0.0277617	0.0298331	0.0510941	0.0500122	-3.589
3850	11.6424981	10.3139682	1.7296932	2.2814530	0.0248604	0.0605539	0.0081137	0.0423506	0.0351059	0.0269920	0.0235944	0.0225332	0.0300180	0.0322257	-6.847
3860	9.6098035	9.4819628	1.4355929	1.7805049	0.0280550	0.0475569	0.0089319	0.0679270	0.0481604	0.0302297	0.0576216	0.0279090	0.0584470	0.0431369	-4.666
3870	8.6277482	6.5601888	1.0344828	1.0074881	0.0340429	0.1817699	0.0100201	0.0365027	0.0775274	0.0720311	0.0361028	0.0441173	0.0971231	0.0689398	-5.966
3880	8.7989577	8.2701460	1.1743350	1.2055842	0.0417910	0.0987152	0.0269544	0.0434888	0.0394359	0.0601953	0.0441337	0.0292700	0.0528904	0.0465582	-5.660
3890	10.7760454	7.8523665	1.3577074	2.0742344	0.0077500	0.2698096	0.0021642	0.0762112	0.0497268	0.0369552	0.0330857	0.0195830	0.0570577	0.0483485	-5.536
3900	10.7720266	8.0957923	1.0429015	1.4033322	0.0432372	0.1668365	0.0062359	0.0554150	0.0662481	0.0434298	0.0348984	0.0180828	0.0624632	0.0678379	-1.499
3910	11.9551764	8.7602756	0.9879217	1.5886438	0.0313630	0.1240180	0.0056480	0.0643281	0.0498041	0.0377712	0.0348316	0.0128693	0.0440600	0.0429443	-3.168
3920	11.7516677	10.2831570	1.9587343	2.0114474	0.0257042	0.2205475	0.0029576	0.0447102	0.0443290	0.0209852	0.0524012	0.0338754	0.0441089	0.0543327	-4.055
3930	11.7039049	9.5467413	2.9644714	1.6736713	0.0073075	0.1823753	0.0039385	0.0125843	0.0096231	0.0264325	0.0356359	0.0127198	0.0613666	0.0514761	-4.025
3940	10.2015835	9.7686407	3.2645453	4.0235742	0.0493881	0.4487928	0.0121585	0.0116069	0.0124814	0.0145548	0.0169898	0.0570819	0.0556737	0.0896801	-5.837
3950	9.6139941	8.6576457	3.7272276	4.6537918	0.0566621	0.5435636	0.0004513	0.0277442	0.0152985	0.0117287	0.0110541	0.0356737	0.0677063	0.0902845	-3.229
3960	9.5305502	9.0276827	4.5255319	6.1002758	0.0368524	0.5435636	0.0018678	0.0190424	0.0098003	0.0122686	0.0100002	0.0342114	0.1095134	0.1086009	-3.974
3970	10.5675073	10.3098080	6.6195287	6.9666462	0.0622608	0.3978529	0.0065719	0.0151663	0.0073327	0.0102857	0.0099590	0.0640562	0.0842162	0.1108456	-3.898
3980	9.6241455	9.2418326	6.9223858	5.3487246	0.0730935	0.3017648	0.0043425	0.0077361	0.0105646	0.0117856	0.0067790	0.0636998	0.1675245	0.1232349	-1.049
3990	11.5077621	11.0506238	8.7878063	5.6047162	0.0289357	0.3017648	0.0016487	0.0084580	0.0101688	0.0134146	0.0184968	0.0303905	0.1238524	0.0784380	-6.855
4000	10.5911706	10.1432643	7.4959383	5.1445166	0.0354693	0.5532358	0.0078759	0.0102629	0.0015407	0.0198259	0.0048310	0.0320477	0.1339847	0.0863248	-6.691
4010	10.7973686	10.2577310	5.8597269	5.2446745	0.0476268	0.4144415	0.0005593	0.0080624	0.0094610	0.0100409	0.0044763	0.1023221	0.0771835	0.1059656	-3.691
4020	11.8826265	11.1977356	4.1208843	3.4707550	0.0319141	0.4066253	0.0073345	0.0164218	0.0244369	0.0251408	0.0143585	0.0489598	0.0552739	0.0617953	-2.872
4030	9.9943996	8.3256715	2.5171930	2.6360231	0.0152417	0.0990124	0.0237849	0.0245731	0.0256440	0.0333215	0.0238790	0.0197498	0.0493953	0.0899644	-8.572
4040	8.3536776	7.7618370	1.0397115	3.1088706	0.0298006	0.4675734	0.0030148	0.0258105	0.0438139	0.0198025	0.0086950	0.0478148	0.0485541	0.0610558	-5.582
4050	11.3544347	11.0495268	1.2157792	2.6331240	0.0472520	0.2644090	0.0136516	0.0203231	0.0321791	0.0202668	0.0195432	0.0375797	0.0501681	0.0385743	-8.361
4060	11.8464496	11.8289745	1.8723312	1.7655128	0.0443214	0.0157712	0.0143485	0.0332153	0.0320211	0.0343757	0.0352317	0.0447704	0.0397110	0.0368841	-2.842
4070	10.6264780	10.5979347	1.7562425	1.3326866	0.0494697	0.1095192	0.0206576	0.0173359	0.0249205	0.0340702	0.0393241	0.0499709	0.0345359	0.0411685	-6.691
4080	10.8680591	10.8388668	2.3537466	1.5880742	0.0483700	0.0886986	0.0090994	0.0293083	0.0271178	0.0333129	0.0279228	0.0488601	0.0360474	0.0528821	-3.470
4090	10.4425201	10.4144708	1.9141276	0.8019580	0.0503411	0.2032724	0.0051062	0.0406351	0.0366359	0.0491807	0.1042502	0.0508512	0.0554007	0.0440014	-1.275
4100	9.1186029	7.5997558	1.5357247	1.1544284	0.0504286	0.1186853	0.0101425	0.0482811	0.0322861	0.0591134	0.0628920	0.0328649	0.0583224	0.0559169	-3.369
4110	9.9843403	9.5685716	2.4488532	1.0014376	0.0251189	0.0899816	0.0175149	0.0252589	0.0224108	0.0555861	0.0591393	0.0240927	0.0581610	0.0525804	-3.315
4120	9.2708502	8.4350776	2.0184981	1.4401779	0.0295980	0.0687637	0.0175862	0.0354774	0.0330512	0.0624013	0.0418919	0.0330539	0.0560856	0.0469717	-4.432
4130	11.0817776	9.2559513	2.0693367	1.3982064	0.0210452	0.0312910	0.0125044	0.0320058	0.0417149	0.0306387	0.0257524	0.0235025	0.0489124	0.0336426	-6.570
4140	9.4098289	8.9759230	0.9746985	1.5130865	0.0264973	0.0312910	0.0193824	0.0482842	0.0525218	0.0273960	0.0324240	0.0266041	0.0439987	0.0455415	-4.325
4150	10.4033281	9.2214700	0.9888551	2.1936571	0.0243496	0.0309486	0.0118782	0.0405946	0.0332683	0.0285448	0.0290489	0.0198087	0.0378490	0.0370572	-7.749
4160	9.1926622	8.6445971	1.7757940	2.2703670	0.0240735	0.0598523	0.0209962	0.0245345	0.0284129	0.0295586	0.0343758	0.0279235	0.0481415	0.0512168	-6.204
4170	9.1085682	8.1291136	1.0379645	1.8046634	0.0281506	0.0473147	0.0162965	0.0404397	0.0357450	0.0191964	0.0377210	0.0351294	0.0525418	0.0402949	-7.890
4180	10.5748264	9.3247253	1.1499356	1.3376820	0.0459467	0.1008130	0.0053736	0.0678966	0.0615451	0.0475871	0.0285810	0.0669165	0.0468998	0.0445409	-2.592
4190	10.0764987	9.0449523	1.5746967	1.8610381	0.0409190	0.1374820	0.0070547	0.0294418	0.0476545	0.0423799	0.0254535	0.0402846	0.0572710	0.0570936	-1.891
4200	10.5921054	10.0453014	0.6114772	1.5362391	0.0355396	0.1763654	0.0070547	0.1180988	0.0805612	0.0249401	0.0433497	0.0340325	0.0385371	0.0502732	-2.208
4210	11.4240983	9.9399975	0.7606497	2.2113145	0.0255199	0.0185878	0.0164076	0.0688258	0.0805612	0.0193887	0.0227280	0.0247985	0.0384373	0.0352960	-5.856
4220	11.8232354	10.9049344	1.3404775	2.7265794	0.0220000	0.0661518	0.0115592	0.0336495	0.0806592	0.0203014	0.0179267	0.0197199	0.0391232	0.0299772	-6.845
4230	10.5313195	9.1038950	1.2319738	2.8522631	0.0306512	0.0288957	0.0233211	0.0557746	0.0595930	0.0260948	0.0265060	0.0274745	0.0418805	0.0510517	-6.844
4240	10.6082295	7.6205003	0.7445311	1.6178938	0.0341735	0.1780108	0.0059457	0.0549290	0.0586895	0.0256992	0.0261042	0.0427924	0.0459780	0.0565950	-5.263
4250	11.5879419	11.0983135	2.8841186	1.3225341	0.0362372	0.0567302	0.0209797	0.0265573	0.0294169	0.0452902	0.0634956	0.0330635	0.0551630	0.0356880	-6.474
4260	11.6174699	10.4368689	2.0372331	1.4832552	0.0215523	0.0974507	0.0100273	0.0666356	0.0351203	0.0354585	0.0443092	0.0280521	0.0550238	0.0389710	-6.043
4270	10.4344091	8.8812738	1.9962525	1.1237808	0.0202219	0.0351359	0.0158167	0.0254130	0.0351135	0.0385432	0.0365482	0.0263954	0.0291335	0.0524926	-10.157
4280	8.0156133	7.9534169	2.5722563	0.5087183	0.0333921	0.2587274	0.0176619	0.0283777	0.0221121	0.0884938	0.0749408	0.0370769	0.0767373	0.0539862	-2.711
4290	8.5866615	8.5200341	1.9770182	0.5466928	0.0311714	0.1100269	0.0157605	0.0206602	0.0397382	0.0826086	0.0772427	0.0294271	0.0553298	0.0443072	-3.017
4300	10.9440910	10.8591714	1.4255264	0.6967849	0.0254606	0.1708430	0.0041854	0.0257348	0.0311784	0.0648141	0.0699774	0.0230883	0.0434114	0.0518710	-2.614
4310	8.0009652	7.5706803	1.1157028	0.9545779	0.0348262	0.0928692	0.0151045	0.0525010	0.0683494	0.0584601	0.0424408	0.0360857	0.0524752	0.0639779	-2.567
4320	11.2318830	10.3091798	2.4596565	0.9873976	0.0205852	0.0926924	0.0089280	0.0131250	0.0192138	0.0230653	0.0335900	0.0216945	0.0304212	0.0389474	-9.399
4330	8.1219547	7.7284863	1.8030121	2.1026387	0.0239030	0.0926924	0.0160307	0.0576106	0.0416285	0.0265076	0.0210005	0.0293897	0.0567889	0.0661181	-4.368
4340	10.4716720	8.9019940	4.1910673	0.6592912	0.0394413	0.3646850	0.0068439	0.0106824	0.0264799	0.0692358	0.1191396	0.0354691	0.0722262	0.0576535	-4.709
4350	8.1165741	6.3984792	3.0330151	0.5819153	0.0358726	0.2412112	0.0085370	0.0189429	0.0159308	0.0863648	0.0597753	0.0323097	0.1294069	0.0536035	-3.717
4360	11.4118633	9.8617437	3.3702930	1.9133590	0.0539364	0.2533782	0.0097773	0.0182349	0.0164140	0.0262984	0.0069172	0.0488528	0.0501274	0.0510294	-6.364
4370	8.2494834	7.9657366	2.0551183	0.9331797	0.0618880	0.0837676	0.0191482	0.0278462	0.0163629	0.0545606	0.0417487	0.0604375	0.0615359	0.0687266	-5.037
4380	11.7884654	11.0963628	3.8893303	1.5656977	0.0399064	0.1733001	0.0018761	0.0099153	0.0117546	0.0333420	0.0271780	0.0268183	0.0844416	0.0507757	-4.383
4390	10.7204147	10.2964712	3.5468822	1.4986989	0.0226755	0.1148619	0.0080502	0.0202168	0.0117665	0.0453662	0.0374378	0.0269732	0.0516440	0.0442326	-2.138
4400	11.2887160	10.2783675	4.0528943	1.0637731	0.0373183	0.0992160	0.0122819	0.0148930	0.0130649	0.0485480	0.0681235	0.0374440	0.0635007	0.0441944	-3.361
4410	9.7852549	8.4090167	2.8914811	0.9150912	0.0281133	0.1004172	0.0087495	0.0254216	0.0202023	0.0560072	0.0552984	0.0314061	0.0656803	0.0509847	-2.129
4420	10.3158847	8.8425236	3.5849449	0.9150912	0.0125457	0.1764425	0.0015081	0.0155066	0.0161997	0.0372703	0.0552984	0.0172573	0.0799793	0.0483376	-1.369
4430	8.6101967	6.0245099	1.7184857	0.8055729	0.0093305	0.1969837	0.0022362	0.0230754	0.0333835	0.0775034	0.0691167	0.0096586	0.0734927	0.0512475	-5.399
4440	11.0755080	9.4378237	1.6346921	1.2821774	0.0060498	0.1969837	0.0086421	0.0209371	0.0442384	0.0455083	0.0400083	0.0067670	0.0632060	0.0563469	-2.916
4450	9.0775675	8.9476730	2.6387146	1.1849522	0.0201743	0.1847467	0.0023611	0.0346061	0.0195591	0.0254826	0.0538777	0.0210053	0.0867445	0.0625276	-1.762
